Year,Country,Emigrants
1921,AR,304
1922,AR,290
1923,AR,2824
1924,AR,3491
1925,AR,2337
1926,AR,3327
1927,AR,7127
1928,AR,7484
1929,AR,6688
1930,AR,4759
1931,AR,883
1932,AR,249
1933,AR,281
1934,AR,442
1935,AR,609
1936,AR,836
1937,AR,897
1938,AR,749
1939,AR,896
1921,US,12461
1922,US,5436
1923,US,6130
1924,US,3638
1925,US,3891
1926,US,4756
1927,US,4759
1928,US,4796
1929,US,4792
1930,US,4215
1931,US,2499
1932,US,1403
1933,US,1106
1934,US,1328
1935,US,1337
1936,US,1568
1937,US,2432
1938,US,2690
1939,US,1953
1921,CA,87
1922,CA,179
1923,CA,717
1924,CA,1976
1925,CA,2487
1926,CA,4998
1927,CA,4656
1928,CA,5921
1929,CA,4030
1930,CA,2745
1931,CA,604
1932,CA,491
1933,CA,537
1934,CA,543
1935,CA,566
1936,CA,653
1937,CA,919
1938,CA,1009
1939,CA,488
1921,URU,0
1922,URU,0
1923,URU,0
1924,URU,176
1925,URU,221
1926,URU,526
1927,URU,905
1928,URU,1892
1929,URU,1168
1930,URU,934
1931,URU,495
1932,URU,44
1933,URU,27
1934,URU,57
1935,URU,26
1936,URU,32
1937,URU,56
1938,URU,74
1939,URU,12
1921,BR,0
1922,BR,63
1923,BR,1535
1924,BR,7461
1925,BR,7771
1926,BR,2756
1927,BR,2527
1928,BR,499
1929,BR,636
1930,BR,294
1931,BR,39
1932,BR,10
1933,BR,38
1934,BR,59
1935,BR,35
1936,BR,21
1937,BR,36
1938,BR,18
1939,BR,66
1921,CH,78
1922,CH,7
1923,CH,46
1924,CH,182
1925,CH,364
1926,CH,243
1927,CH,425
1928,CH,375
1929,CH,279
1930,CH,184
1931,CH,99
1932,CH,97
1933,CH,37
1934,CH,48
1935,CH,86
1936,CH,81
1937,CH,59
1938,CH,79
1939,CH,43
1921,PE,10
1922,PE,44
1923,PE,135
1924,PE,1736
1925,PE,314
1926,PE,1109
1927,PE,1138
1928,PE,436
1929,PE,205
1930,PE,193
1931,PE,87
1932,PE,83
1933,PE,144
1934,PE,152
1935,PE,235
1936,PE,352
1937,PE,511
1938,PE,619
1939,PE,378
1921,AU,0
1922,AU,0
1923,AU,0
1924,AU,0
1925,AU,0
1926,AU,0
1927,AU,184
1928,AU,36
1929,AU,154
1930,AU,37
1931,AU,5
1932,AU,3
1933,AU,2
1934,AU,6
1935,AU,1
1936,AU,6
1937,AU,7
1938,AU,15
1939,AU,6
1921,NZ,2
1922,NZ,12
1923,NZ,4
1924,NZ,110
1925,NZ,62
1926,NZ,359
1927,NZ,130
1928,NZ,88
1929,NZ,78
1930,NZ,89
1931,NZ,49
1932,NZ,38
1933,NZ,16
1934,NZ,40
1935,NZ,47
1936,NZ,105
1937,NZ,158
1938,NZ,180
1939,NZ,117
